MAP	NProc	MaxTime	MinTime	JacobiMIN	JacobiMAX	MLUPs
core,	1,	,15.3510841540,15.3510841540,15.0864302840,15.0864302840,112.565339533,			
core,	4,	,3.85272522600,3.85272491900,3.76722233100,3.77219138100,448.513688009,			
core,	8,	,1.95424969500,1.95424734500,1.88836550200,1.89276180100,884.226823431,			
core,	12,	,1.31535545300,1.31534524800,1.26313816400,1.27021016600,1313.71333586,			
socket,	4,	,3.85407497600,3.85407458100,3.76682641200,3.77462778100,448.356612355,			
socket,	8,	,1.95225548500,1.95224731200,1.88698069400,1.89293449100,885.130052535,			
socket,	12,	,1.30505121500,1.30504727700,1.25801342600,1.26265073300,1324.08596700,			
node,	12,	,1.30784990500,1.30784633500,1.25544001600,1.26598197200,1321.25253318,			
node,	24,	,0.655617838000,0.655613140000,0.627908112000,0.631100154000,2635.68179486,			
node,	36,	,0.445513384000,0.445507510000,0.419495560000,0.422867384000,3878.67135323,			
node,	48,	,0.341244313000,0.337151561000,0.314298704000,0.324114123000,5063.82065333,			
