core,	1,	,28.3426703860,28.3426703860,27.9687132880,27.9687132880,60.9681436670,			
core,	4,	,5.60276271400,5.60276191600,5.49409581300,5.49901890300,308.419272457,			
core,	8,	,2.96044536200,2.96043863200,2.86503035800,2.87381249100,583.695960811,			
core,	12,	,2.04470221400,2.04469903100,1.97035872800,1.98042058500,845.110837250,			
socket,	4,	,5.58222276600,5.58222198000,5.42908111800,5.48109519500,309.554109973,			
socket,	8,	,2.82742469400,2.82742129700,2.71659290800,2.74323898400,611.156860753,			
socket,	12,	,1.92627050300,1.92625205400,1.81873323000,1.86684412000,897.070269886,			
node,	12,	,1.88312201100,1.88311586700,1.81165848300,1.82506180000,917.625087438,			
node,	24,	,0.969933083000,0.969925536000,0.909749049000,0.936990771000,1781.56620316,			
node,	36,	,0.670160136000,0.670155535000,0.619283656000,0.638829557000,2578.48819584,			
node,	48,	,0.519046491000,0.519032527000,0.474870194000,0.494525195000,3329.18154725,			
MAP	NProc	MaxTime	MinTime	JacobiMIN	JacobiMAX	MLUPs
core,	1,	,22.7850360120,22.7850360120,22.3978382550,22.3978382550,75.8392481403,			
core,	4,	,5.59502354200,5.59502324200,5.48213688500,5.49120272000,308.845885460,			
core,	8,	,2.96122486600,2.96122008300,2.86318440100,2.87464731400,583.542310427,			
core,	12,	,2.04079798200,2.04079555600,1.97008867800,1.97591922900,846.727611082,			
socket,	4,	,5.57102955400,5.57102594900,5.43018967000,5.47046054100,310.176060502,			
socket,	8,	,2.83502548100,2.83502255200,2.71662728300,2.75083304100,609.518331169,			
socket,	12,	,1.92686017900,1.92685598800,1.81683580200,1.86747842000,896.795739947,			
node,	12,	,1.88446289100,1.88446012200,1.81119610200,1.82619099600,916.972155967,			
node,	24,	,0.967293404000,0.967289592000,0.910584908000,0.934350586000,1786.42797816,			
node,	36,	,0.669833338000,0.669830547000,0.618597849000,0.638764487000,2579.74618755,			
node,	48,	,0.518022379000,0.518015117000,0.474763678000,0.493796769000,3335.76322192,			
